epoch,loss,node_pos_loss,degrees_loss,node_types_loss,node_pos_accuracy,degrees_accuracy,node_types_accuracy,val_loss,val_node_pos_loss,val_degrees_loss,val_node_types_loss,val_node_pos_accuracy,val_degrees_accuracy,val_node_types_accuracy,loss_sm,node_pos_loss_sm,degrees_loss_sm,node_types_loss_sm,node_pos_accuracy_sm,degrees_accuracy_sm,node_types_accuracy_sm,val_loss_sm,val_node_pos_loss_sm,val_degrees_loss_sm,val_node_types_loss_sm,val_node_pos_accuracy_sm,val_degrees_accuracy_sm,val_node_types_accuracy_sm
42,0.0000783,0.0000120,0.0000207,0.0000456,0.9999984,0.9999964,0.9999806,0.0000944,0.0000148,0.0000240,0.0000557,0.9999956,0.9999931,0.9999788,0.0000778,0.0000120,0.0000205,0.0000453,0.9999983,0.9999964,0.9999808,0.0000945,0.0000150,0.0000248,0.0000547,0.9999955,0.9999929,0.9999791
43,0.0000772,0.0000119,0.0000204,0.0000449,0.9999983,0.9999964,0.9999812,0.0000955,0.0000159,0.0000263,0.0000533,0.9999956,0.9999930,0.9999797,0.0000766,0.0000118,0.0000203,0.0000445,0.9999983,0.9999964,0.9999812,0.0000935,0.0000150,0.0000246,0.0000539,0.9999955,0.9999930,0.9999795
44,0.0000764,0.0000119,0.0000203,0.0000443,0.9999982,0.9999965,0.9999808,0.0000912,0.0000144,0.0000235,0.0000532,0.9999954,0.9999932,0.9999798,0.0000753,0.0000117,0.0000200,0.0000436,0.9999983,0.9999964,0.9999817,0.0000925,0.0000150,0.0000243,0.0000532,0.9999955,0.9999931,0.9999799
45,0.0000745,0.0000116,0.0000196,0.0000433,0.9999982,0.9999963,0.9999824,0.0000935,0.0000149,0.0000239,0.0000547,0.9999955,0.9999931,0.9999797,0.0000739,0.0000116,0.0000197,0.0000427,0.9999983,0.9999964,0.9999823,0.0000917,0.0000150,0.0000240,0.0000527,0.9999955,0.9999931,0.9999801
46,0.0000736,0.0000116,0.0000199,0.0000421,0.9999982,0.9999962,0.9999824,0.0000894,0.0000157,0.0000245,0.0000493,0.9999954,0.9999930,0.9999816,0.0000725,0.0000114,0.0000195,0.0000417,0.9999983,0.9999964,0.9999829,0.0000910,0.0000149,0.0000239,0.0000522,0.9999955,0.9999930,0.9999803
47,0.0000716,0.0000112,0.0000192,0.0000412,0.9999985,0.9999966,0.9999830,0.0000919,0.0000145,0.0000230,0.0000544,0.9999955,0.9999930,0.9999790,0.0000711,0.0000112,0.0000192,0.0000407,0.9999983,0.9999964,0.9999836,0.0000905,0.0000148,0.0000238,0.0000519,0.9999954,0.9999930,0.9999803
48,0.0000699,0.0000110,0.0000189,0.0000400,0.9999981,0.9999961,0.9999846,0.0000898,0.0000145,0.0000244,0.0000509,0.9999956,0.9999930,0.9999807,0.0000699,0.0000111,0.0000189,0.0000399,0.9999983,0.9999964,0.9999841,0.0000901,0.0000147,0.0000238,0.0000515,0.9999954,0.9999929,0.9999805
49,0.0000690,0.0000109,0.0000187,0.0000393,0.9999983,0.9999964,0.9999847,0.0000898,0.0000147,0.0000235,0.0000516,0.9999951,0.9999927,0.9999805,0.0000688,0.0000109,0.0000187,0.0000391,0.9999983,0.9999965,0.9999845,0.0000901,0.0000149,0.0000238,0.0000514,0.9999954,0.9999930,0.9999806
50,0.0000688,0.0000110,0.0000188,0.0000390,0.9999984,0.9999965,0.9999840,0.0000886,0.0000149,0.0000238,0.0000499,0.9999953,0.9999930,0.9999812,0.0000679,0.0000108,0.0000185,0.0000385,0.9999983,0.9999965,0.9999848,0.0000911,0.0000152,0.0000239,0.0000521,0.9999954,0.9999930,0.9999805
51,0.0000676,0.0000109,0.0000185,0.0000382,0.9999982,0.9999968,0.9999849,0.0000877,0.0000146,0.0000233,0.0000498,0.9999954,0.9999931,0.9999811,0.0000671,0.0000107,0.0000184,0.0000379,0.9999983,0.9999965,0.9999851,0.0000928,0.0000156,0.0000240,0.0000532,0.9999955,0.9999932,0.9999801
52,0.0000655,0.0000104,0.0000181,0.0000370,0.9999984,0.9999964,0.9999859,0.0000993,0.0000168,0.0000247,0.0000577,0.9999957,0.9999934,0.9999788,0.0000667,0.0000107,0.0000183,0.0000377,0.9999983,0.9999965,0.9999853,0.0000937,0.0000158,0.0000241,0.0000539,0.9999955,0.9999932,0.9999800
